id,BLANK1,R,HR,TB,RBI,SBN,OBP,BLANK2,IP,K,SV,ERA,WHIP,K-BB,BLANK3,LAST,MOVES
teamId=8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teamId=11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teamId=5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teamId=3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teamId=1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teamId=9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teamId=2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teamId=7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teamId=6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teamId=10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
