id,BLANK1,R,HR,TB,RBI,SBN,OBP,BLANK2,IP,K,SV,ERA,WHIP,K-BB,BLANK3,LAST,MOVES
teamId=5,,79,23,264,77,9,.3210,,158.1,146,14,4.093,1.389,2.2,,6-6-0,5
teamId=11,,99,32,310,104,5,.3393,,178.0,166,4,3.287,1.118,3.5,,8-3-1,5
teamId=7,,97,27,286,85,9,.3575,,94.2,86,10,3.327,1.120,2.5,,5-5-2,5
teamId=10,,78,24,254,68,3,.3119,,152.1,153,15,4.195,1.451,2.8,,5-5-2,5
teamId=2,,87,32,272,79,12,.3541,,155.0,127,5,3.484,1.129,3.4,,3-8-1,7
teamId=6,,66,16,236,53,-1,.3071,,148.2,133,10,3.996,1.318,2.5,,6-6-0,4
teamId=8,,63,18,249,73,2,.3157,,149.1,156,1,3.797,1.212,3.3,,6-6-0,7
teamId=3,,66,28,244,86,6,.2884,,143.1,142,4,4.772,1.270,3.6,,6-6-0,6
teamId=9,,47,7,153,43,10,.3161,,142.1,138,11,3.667,1.300,2.5,,6-6-0,7
teamId=1,,55,8,192,52,5,.3136,,144.0,128,2,4.250,1.319,2.6,,6-6-0,3
