id,BLANK1,R,HR,TB,RBI,SBN,OBP,BLANK2,IP,K,SV,ERA,WHIP,K-BB,BLANK3,LAST,MOVES
teamId=5,,55,16,173,51,6,.3222,,98.2,94,10,3.557,1.307,2.5,,9-2-1,4
teamId=2,,57,18,162,44,6,.3326,,91.1,77,4,3.350,1.128,4.3,,5-7-0,5
teamId=7,,67,20,193,66,7,.3528,,55.1,54,4,2.928,1.211,2.6,,8-4-0,5
teamId=10,,54,19,173,48,1,.3281,,109.1,112,9,4.363,1.509,2.9,,5-7-0,5
teamId=11,,55,17,176,61,2,.3191,,106.2,93,3,3.459,1.050,3.6,,7-5-0,4
teamId=6,,39,12,166,36,0,.3196,,97.2,91,6,3.410,1.352,2.2,,9-3-0,2
teamId=8,,42,12,163,53,-2,.3046,,88.1,105,0,3.668,1.087,3.8,,7-5-0,6
teamId=3,,49,20,170,56,4,.2981,,94.0,97,3,4.787,1.234,4.9,,4-8-0,6
teamId=9,,24,3,87,21,6,.2997,,108.1,112,8,2.991,1.218,2.6,,3-9-0,4
teamId=1,,40,6,132,36,5,.2993,,107.0,93,2,3.953,1.336,2.4,,2-9-1,3
