id,BLANK1,R,HR,TB,RBI,SBN,OBP,BLANK2,IP,K,SV,ERA,WHIP,K-BB,BLANK3,LAST,MOVES
teamId=2,,465,133,1578,509,28,.3527,,996.2,917,34,3.486,1.183,3,,7-5-0,23
teamId=8,,376,80,1237,388,22,.3241,,925.0,903,41,3.474,1.175,3.7,,2-10-0,25
teamId=1,,469,118,1477,426,61,.3489,,871.0,773,43,3.782,1.257,3,,10-2-0,25
teamId=6,,479,103,1486,443,76,.3216,,910.2,818,21,3.538,1.231,3.4,,5-7-0,18
teamId=11,,399,89,1279,386,2,.3360,,942.1,728,25,3.601,1.254,2.9,,3-9-0,28
teamId=5,,452,95,1370,409,33,.3276,,776.2,747,34,3.894,1.291,3.1,,9-3-0,29
teamId=3,,427,100,1325,390,32,.3160,,820.1,690,48,4.619,1.424,2.2,,2-9-1,20
teamId=10,,404,65,1264,331,43,.3188,,706.2,601,24,3.961,1.293,2.4,,9-2-1,21
teamId=9,,409,79,1313,393,30,.3230,,277.1,248,65,2.953,1.294,3,,10-2-0,4
teamId=7,,392,123,1276,405,25,.3190,,332.1,280,2,4.631,1.387,2.4,,2-10-0,2
