id,BLANK1,R,HR,TB,RBI,SBN,OBP,BLANK2,IP,K,SV,ERA,WHIP,K-BB,BLANK3,LAST,MOVES
teamId=8,,196,45,678,217,12,.3298,,454.1,457,14,3.229,1.189,3.2,,10-2-0,20
teamId=1,,268,67,819,251,30,.3586,,445.0,395,21,4.106,1.301,2.7,,6-6-0,16
teamId=6,,274,60,801,248,46,.3249,,424.2,385,11,3.836,1.234,3.7,,7-4-1,12
teamId=2,,243,72,842,273,12,.3505,,540.0,491,16,3.817,1.252,2.6,,11-1-0,15
teamId=11,,215,43,656,204,4,.3466,,536.2,425,17,3.421,1.232,3,,6-6-0,15
teamId=5,,242,49,705,223,22,.3147,,406.1,392,18,3.832,1.282,3,,4-7-1,15
teamId=3,,248,58,745,222,31,.3151,,438.1,371,28,4.784,1.471,2,,7-4-1,11
teamId=10,,212,32,675,173,29,.3154,,375.2,319,20,4.552,1.406,2.2,,1-11-0,17
teamId=9,,236,37,728,204,15,.3258,,134.0,132,34,2.619,1.216,3.4,,4-7-1,2
teamId=7,,221,65,671,217,8,.3331,,230.2,201,2,4.682,1.357,2.7,,2-10-0,2
