id,BLANK1,R,HR,TB,RBI,SBN,OBP,BLANK2,IP,K,SV,ERA,WHIP,K-BB,BLANK3,LAST,MOVES
teamId=6,,104,25,289,84,16,.3392,,111.1,95,4,3.476,1.240,2.9,,8-3-1,6
teamId=11,,84,17,239,67,0,.3604,,165.2,129,4,3.097,1.189,3.3,,6-5-1,7
teamId=2,,70,18,236,68,5,.3214,,190.0,175,8,3.600,1.268,2.5,,5-6-1,5
teamId=8,,57,12,180,62,3,.2994,,147.1,155,2,2.932,1.059,4.4,,7-3-2,7
teamId=1,,90,24,263,87,14,.3715,,153.1,129,9,4.167,1.363,2.2,,9-2-1,8
teamId=10,,61,13,227,59,9,.3064,,107.1,97,10,3.606,1.342,2.6,,10-2-0,4
teamId=3,,76,20,245,70,8,.3112,,112.1,107,7,4.567,1.496,2.3,,3-8-1,5
teamId=5,,70,15,218,74,3,.3288,,136.1,137,6,4.225,1.313,3.4,,3-7-2,1
teamId=9,,72,10,221,69,5,.3289,,53.2,42,7,2.348,1.193,1.9,,2-9-1,2
teamId=7,,71,13,200,67,6,.3403,,74.1,70,1,4.480,1.278,3.2,,2-10-0,1
