id,BLANK1,R,HR,TB,RBI,SBN,OBP,BLANK2,IP,K,SV,ERA,WHIP,K-BB,BLANK3,LAST,MOVES
teamId=8,,317,72,1059,344,17,.3304,,779.0,766,32,3.535,1.196,3.6,,11-1-0,22
teamId=2,,399,114,1345,429,25,.3523,,848.1,778,26,3.703,1.209,2.8,,10-1-1,18
teamId=1,,396,102,1264,376,55,.3520,,732.0,624,35,3.984,1.287,2.7,,1-10-1,21
teamId=6,,404,85,1236,368,70,.3233,,751.2,658,18,3.628,1.239,3.2,,6-3-3,17
teamId=11,,348,77,1081,334,4,.3416,,798.1,621,22,3.405,1.225,3,,10-2-0,23
teamId=3,,380,88,1166,342,34,.3205,,696.2,598,41,4.651,1.430,2.2,,11-1-0,14
teamId=5,,370,76,1100,338,31,.3204,,676.0,648,28,3.808,1.266,3.1,,1-11-0,19
teamId=10,,333,55,1062,278,37,.3145,,611.0,518,24,4.257,1.357,2.3,,3-6-3,20
teamId=9,,360,70,1135,320,26,.3269,,220.0,202,55,3.191,1.300,3,,2-10-0,2
teamId=7,,333,101,1073,341,20,.3214,,287.2,243,2,4.537,1.390,2.5,,1-11-0,2
