id,BLANK1,R,HR,TB,RBI,SBN,OBP,BLANK2,IP,K,SV,ERA,WHIP,K-BB,BLANK3,LAST,MOVES
teamId=6,,63,19,191,61,14,.3244,,69.2,63,2,3.359,1.191,3.7,,11-1-0,3
teamId=2,,44,15,172,47,2,.3381,,128.2,121,5,3.637,1.290,2.8,,8-4-0,4
teamId=11,,56,13,161,46,0,.3667,,109.2,95,2,3.036,1.158,4.1,,5-7-0,5
teamId=3,,50,13,163,40,6,.3084,,89.1,82,4,4.433,1.444,2.6,,8-4-0,3
teamId=8,,32,6,105,34,1,.2727,,102.0,112,2,3.265,1.157,4.7,,4-8-0,4
teamId=1,,61,18,187,63,8,.3711,,118.0,90,5,3.890,1.314,2.2,,7-5-0,6
teamId=5,,52,8,146,46,0,.3296,,103.0,105,6,4.107,1.311,3,,5-7-0,1
teamId=10,,37,8,140,31,7,.2973,,70.0,63,7,3.343,1.143,3,,7-5-0,2
teamId=9,,43,7,138,39,3,.3213,,38.2,31,7,1.397,0.957,1.8,,1-11-0,2
teamId=7,,48,11,142,50,6,.3249,,51.0,54,1,4.412,1.157,4.2,,4-8-0,1
