id,BLANK1,R,HR,TB,RBI,SBN,OBP,BLANK2,IP,K,SV,ERA,WHIP,K-BB,BLANK3,LAST,MOVES
teamId=1,,236,63,736,229,27,.3576,,398.0,351,18,4.003,1.289,2.6,,11-1-0,15
teamId=8,,175,38,582,183,8,.3239,,410.0,406,11,3.139,1.190,3.2,,6-4-2,18
teamId=6,,242,54,708,222,40,.3213,,377.2,338,9,3.622,1.202,3.7,,6-5-1,11
teamId=2,,218,60,746,237,10,.3479,,479.1,431,13,3.812,1.268,2.5,,7-5-0,14
teamId=5,,218,46,649,207,23,.3273,,348.1,342,16,3.850,1.300,2.9,,5-7-0,10
teamId=11,,194,38,576,181,4,.3491,,460.1,355,16,3.480,1.208,3,,8-4-0,12
teamId=3,,229,50,668,196,28,.3183,,389.1,326,24,4.739,1.456,2.1,,4-8-0,10
teamId=10,,190,30,607,157,28,.3165,,334.1,286,20,4.657,1.424,2.3,,1-11-0,16
teamId=9,,207,34,651,191,9,.3292,,119.1,117,30,2.866,1.232,3.3,,4-6-2,2
teamId=7,,192,53,581,187,7,.3365,,214.2,188,2,4.360,1.314,2.7,,5-6-1,2
