id,BLANK1,R,HR,TB,RBI,SBN,OBP,BLANK2,IP,K,SV,ERA,WHIP,K-BB,BLANK3,LAST,MOVES
teamId=6,,131,33,386,115,19,.3317,,164.0,141,5,3.293,1.201,3.5,,7-5-0,8
teamId=8,,91,19,275,97,5,.3131,,209.0,223,4,3.531,1.191,3.7,,11-1-0,9
teamId=2,,99,24,348,100,6,.3464,,253.1,241,11,4.050,1.303,2.3,,7-5-0,8
teamId=1,,127,35,375,128,17,.3712,,201.0,183,9,4.075,1.313,2.5,,7-3-2,11
teamId=10,,93,17,323,80,9,.3185,,164.0,150,14,4.061,1.305,2.8,,5-7-0,6
teamId=5,,102,20,300,98,7,.3272,,170.0,161,7,4.659,1.371,2.9,,9-2-1,1
teamId=11,,110,22,326,99,1,.3720,,227.0,167,4,3.608,1.278,2.8,,1-11-0,8
teamId=3,,113,31,348,107,13,.3163,,160.1,147,10,4.715,1.547,2.2,,3-7-2,7
teamId=7,,96,20,285,97,9,.3414,,110.2,109,1,4.310,1.238,3.4,,5-7-0,1
teamId=9,,94,12,285,93,6,.3114,,64.1,56,12,2.518,1.228,2.2,,2-9-1,2
