id,BLANK1,R,HR,TB,RBI,SBN,OBP,BLANK2,IP,K,SV,ERA,WHIP,K-BB,BLANK3,LAST,MOVES
teamId=8,,157,34,508,161,6,.3234,,365.0,366,8,3.082,1.167,3.3,,4-8-0,15
teamId=1,,214,57,646,207,22,.3572,,340.0,298,16,4.024,1.268,2.8,,8-4-0,13
teamId=6,,217,47,615,191,39,.3226,,339.2,302,9,3.710,1.222,3.5,,4-6-2,9
teamId=2,,188,51,645,210,7,.3441,,414.0,380,12,3.804,1.300,2.4,,6-4-2,12
teamId=5,,187,40,565,177,18,.3294,,310.2,301,14,3.998,1.294,3,,8-3-1,9
teamId=3,,201,48,595,177,27,.3166,,342.0,293,22,4.474,1.401,2.1,,9-2-1,7
teamId=11,,170,33,516,161,4,.3480,,407.2,323,12,3.488,1.226,2.9,,3-8-1,9
teamId=10,,169,27,540,139,21,.3171,,290.1,251,20,4.278,1.381,2.4,,2-9-1,12
teamId=9,,177,33,560,171,7,.3202,,109.0,108,27,2.890,1.239,3.2,,6-3-3,2
teamId=7,,161,39,486,154,7,.3295,,188.2,170,2,4.341,1.293,2.8,,3-6-3,2
