id,BLANK1,R,HR,TB,RBI,SBN,OBP,BLANK2,IP,K,SV,ERA,WHIP,K-BB,BLANK3,LAST,MOVES
teamId=11,,30,6,83,29,-1,.3349,,50.0,48,1,2.340,0.980,5.3,,10-1-1,4
teamId=8,,18,2,53,18,1,.2817,,52.1,46,1,2.408,1.108,3.5,,9-2-1,3
teamId=2,,22,9,91,25,1,.3364,,67.2,57,3,2.660,1.182,2.3,,8-4-0,2
teamId=6,,25,6,75,24,8,.3149,,36.0,36,1,3.750,1.222,3,,6-5-1,2
teamId=9,,28,5,79,27,0,.3412,,23.2,16,4,1.901,0.930,2.3,,5-5-2,2
teamId=3,,27,5,79,22,4,.2941,,48.0,35,3,5.063,1.458,2.2,,5-5-2,2
teamId=5,,22,2,77,22,0,.3591,,53.1,58,1,5.063,1.350,3.6,,5-6-1,1
teamId=1,,29,6,85,27,6,.3833,,62.0,51,2,3.774,1.323,2,,4-8-0,2
teamId=10,,13,2,47,12,4,.2649,,36.0,30,4,3.750,1.306,2.3,,2-9-1,2
teamId=7,,24,4,63,21,3,.3299,,24.0,26,1,6.750,1.500,3.7,,1-10-1,1
