id,BLANK1,R,HR,TB,RBI,SBN,OBP,BLANK2,IP,K,SV,ERA,WHIP,K-BB,BLANK3,LAST,MOVES
teamId=8,,122,21,354,121,7,.3254,,256.2,267,5,3.612,1.255,3.4,,9-3-0,10
teamId=6,,162,36,463,136,31,.3301,,213.2,193,7,3.665,1.250,3.3,,7-4-1,9
teamId=2,,128,27,421,134,10,.3367,,307.0,292,12,4.221,1.355,2.4,,5-7-0,10
teamId=1,,158,41,457,145,20,.3637,,243.0,216,10,4.407,1.346,2.6,,4-7-1,12
teamId=10,,113,21,393,103,15,.3167,,198.0,186,17,4.045,1.318,2.8,,7-5-0,9
teamId=11,,131,25,383,117,1,.3659,,280.2,218,7,3.688,1.272,2.9,,8-4-0,8
teamId=3,,146,38,436,138,18,.3188,,223.1,194,11,4.473,1.455,2.1,,7-4-1,7
teamId=5,,134,26,393,129,8,.3343,,209.1,204,9,4.557,1.352,2.9,,4-7-1,4
teamId=9,,113,14,356,114,5,.3163,,76.1,76,16,2.358,1.218,2.8,,4-8-0,2
teamId=7,,115,26,345,118,8,.3337,,144.1,136,1,4.490,1.282,3.2,,3-9-0,2
