id,BLANK1,R,HR,TB,RBI,SBN,OBP,BLANK2,IP,K,SV,ERA,WHIP,K-BB,BLANK3,LAST,MOVES
teamId=1,,325,82,1001,301,39,.3579,,559.1,484,30,4.007,1.296,2.7,,10-1-1,18
teamId=8,,244,56,840,280,15,.3305,,578.1,567,20,2.941,1.134,3.5,,5-6-1,21
teamId=2,,299,86,1026,328,20,.3458,,661.1,613,21,3.661,1.211,2.8,,6-5-1,18
teamId=6,,320,72,978,295,56,.3237,,550.1,487,14,3.810,1.230,3.5,,6-4-2,17
teamId=11,,263,52,810,256,3,.3437,,636.1,499,21,3.437,1.254,2.9,,8-3-1,22
teamId=5,,297,61,887,269,25,.3233,,529.2,514,22,3.874,1.297,3.1,,12-0-0,15
teamId=3,,295,67,912,271,35,.3161,,551.1,467,32,4.881,1.478,2,,4-6-2,14
teamId=9,,285,51,894,255,16,.3241,,173.1,158,44,2.648,1.212,3.4,,1-10-1,2
teamId=10,,250,42,811,210,33,.3116,,452.2,394,22,4.633,1.427,2.3,,3-8-1,18
teamId=7,,266,76,824,266,13,.3288,,248.1,210,2,4.530,1.369,2.5,,0-12-0,2
