id,BLANK1,R,HR,TB,RBI,SBN,OBP,BLANK2,IP,K,SV,ERA,WHIP,K-BB,BLANK3,LAST,MOVES
teamId=8,,226,51,765,254,13,.3325,,517.0,514,18,3.099,1.161,3.4,,11-0-1,21
teamId=1,,296,76,915,279,37,.3584,,506.2,449,27,4.014,1.297,2.7,,9-3-0,16
teamId=2,,272,80,935,300,18,.3483,,616.1,571,18,3.767,1.222,2.8,,11-0-1,15
teamId=6,,302,67,900,274,53,.3264,,484.2,430,12,3.918,1.254,3.4,,6-6-0,15
teamId=11,,239,51,739,232,4,.3453,,589.2,463,20,3.434,1.245,2.9,,8-2-2,18
teamId=5,,269,55,780,240,21,.3169,,473.2,461,20,3.895,1.292,3.1,,3-9-0,15
teamId=3,,273,62,828,246,34,.3140,,509.1,430,30,4.842,1.478,2,,0-11-1,13
teamId=9,,269,47,833,237,15,.3298,,155.2,144,41,2.544,1.227,3.1,,6-6-0,2
teamId=10,,230,38,745,196,29,.3145,,412.1,355,21,4.584,1.419,2.2,,0-11-1,18
teamId=7,,245,73,748,240,11,.3300,,238.1,206,2,4.607,1.355,2.7,,2-8-2,2
