id,BLANK1,R,HR,TB,RBI,SBN,OBP,BLANK2,IP,K,SV,ERA,WHIP,K-BB,BLANK3,LAST,MOVES
teamId=1,,378,95,1179,355,53,.3564,,676.2,575,33,4.070,1.290,2.7,,6-4-2,20
teamId=8,,291,67,993,323,16,.3298,,708.2,704,26,3.454,1.191,3.5,,5-7-0,22
teamId=2,,366,106,1240,393,23,.3500,,774.2,710,23,3.764,1.225,2.8,,8-4-0,18
teamId=6,,379,79,1146,343,66,.3240,,682.1,600,18,3.654,1.233,3.2,,4-6-2,17
teamId=11,,319,67,978,307,4,.3389,,770.1,591,21,3.400,1.227,2.9,,7-5-0,23
teamId=5,,349,74,1042,323,28,.3213,,631.1,614,24,3.749,1.266,3.2,,5-7-0,18
teamId=3,,345,80,1071,315,36,.3195,,651.1,545,38,4.643,1.432,2.1,,7-5-0,14
teamId=10,,308,51,981,253,35,.3138,,541.0,465,24,4.342,1.384,2.3,,8-2-2,18
teamId=9,,337,64,1053,296,22,.3260,,205.1,191,53,3.024,1.295,3.1,,2-8-2,2
teamId=7,,313,95,1002,325,15,.3263,,271.0,231,2,4.384,1.380,2.6,,4-8-0,2
